M,Triton
256.0,35.0
384.0,53.6
512.0,61.7
640.0,69.4
768.0,67.4
896.0,68.1
1024.0,69.5
1152.0,68.3
1280.0,67.6
1408.0,68.6
1536.0,67.5
1664.0,69.0
1792.0,68.7
1920.0,70.0
2048.0,70.1
2176.0,69.2
2304.0,69.9
2432.0,69.7
2560.0,69.6
2688.0,69.8
2816.0,70.1
2944.0,70.1
3072.0,70.3
3200.0,70.7
3328.0,70.6
3456.0,70.5
3584.0,70.8
3712.0,70.7
3840.0,70.9
3968.0,70.4
4096.0,70.5
